,object_appearance_quality_annotator_1,object_visibility_annotator_1,id,text,dataset,vael,linguistic_cue_annotator_1,completely_missing_type_annotator_1,other_ta2_annotator_1,other_ta1_annotator_1,object_visibility_annotator_2,linguistic_cue_annotator_2,other_ta2_annotator_2,object_appearance_quality_annotator_2,completely_missing_type_annotator_2,other_ta1_annotator_2
0,['option3'],['option1'],concap/train/0000001514,little boy sitting on the grass with drone and remote controller,concap/train,remote,['option3'],,,,['option1'],,,,,
1,,['option3'],concap/train/0000040441,"person painted over a thrift - store globe to match the colors of her nursery , then hand - painted this phrase on the dried product .",concap/train,person,"['option1', 'option9']",,,,['option3'],['option9'],,,,
2,,['option3'],concap/train/0000047979,a panther on a flat car ready for transport with tent set up for a crew member on the bottom corner .,concap/train,car,['option3'],"['option1', 'option2']",,,['option2'],,,"['option1', 'option2']",,
3,"['option2', 'option3']",['option1'],concap/train/0000118244,woman riding a bicycle through the palm trees along bodies of water,concap/train,bicycle,,,,,['option1'],,,"['option2', 'option3']",,
4,,['option3'],concap/train/0000164402,traditional food served on a banana leaf,concap/train,banana,"['option3', 'option4']",,,,['option3'],['option3'],,,"['option1', 'option2']",
5,,['option3'],concap/train/0000221177,person has a meet up with her bag,concap/train,person,"['option9', 'option5']",,['substitution'],,['option3'],['option9'],,,['option1'],
6,"['option1', 'option2']",['option2'],concap/train/0000225694,a young woman opens an airplane window and looks out the window .,concap/train,airplane,['option3'],['option1'],,,['option2'],,,"['option1', 'option2']",['option1'],
7,"['option1', 'option2']",['option2'],concap/train/0000241127,webcam attached to the top of a laptop,concap/train,laptop,['option4'],,,,['option2'],['option4'],,"['option1', 'option2']","['option1', 'option2']",
8,,['option3'],concap/train/0000314734,this is a drawing of comic book character on a paper,concap/train,book,"['option3', 'option4']",['option1'],,,['option3'],['option3'],,,['option1'],
9,,['option3'],concap/train/0000317899,"back shot of a man in jeans , khaki short jacket with a sparkling white motorcycle helmet under his arm isolated on white",concap/train,motorcycle,['option3'],['option1'],,,['option3'],['option3'],,,['option1'],
10,,['option3'],concap/train/0000329428,a young man plays the guitar for his lover indoors sitting on the couch,concap/train,couch,"['option9', 'option4']",['option1'],,,['option2'],['option4'],,"['option1', 'option2']",,
11,,['option1'],concap/train/0000404107,here 's how to find the best women 's handbag for you .,concap/train,handbag,,,,,['option1'],,,,,
12,,['option1'],concap/train/0000500639,"a laptop is located on the girl 's lap , her hand is typing something on the keyboard .",concap/train,keyboard,,,,,['option1'],['option4'],,,,
13,['option1'],['option2'],concap/train/0000561380,family of tree around a campfire at night with car .,concap/train,car,['option4'],,,,['option2'],,,['option1'],,
